t, s(t), I, s(I)
03.06, 0.05, 9.6, 0.1  
03.45, 0.05, 9.3, 0.1
03.89, 0.05, 8.9, 0.1
04.25, 0.05, 8.4, 0.1
04.69, 0.05, 7.6, 0.1
05.05, 0.05, 7.0, 0.1
05.49, 0.05, 6.4, 0.1
05.83, 0.05, 5.9, 0.1
06.26, 0.05, 5.4, 0.1
06.67, 0.05, 4.9, 0.1
07.06, 0.05, 4.5, 0.1
07.47, 0.05, 4.2, 0.1
07.87, 0.05, 3.9, 0.1
08.23, 0.05, 3.5, 0.1
08.64, 0.05, 3.3, 0.1
09.07, 0.05, 3.0, 0.1
09.45, 0.05, 2.8, 0.1
09.85, 0.05, 2.5, 0.1
10.27, 0.05, 2.3, 0.1
10.64, 0.05, 2.1, 0.1
11.07, 0.05, 2.0, 0.1
11.47, 0.05, 1.8, 0.1
11.84, 0.05, 1.7, 0.1
12.28, 0.05, 1.5, 0.1
12.65, 0.05, 1.4, 0.1
13.05, 0.05, 1.3, 0.1
13.45, 0.05, 1.2, 0.1
13.88, 0.05, 1.1, 0.1
14.24, 0.05, 1.0, 0.1
14.65, 0.05, 0.9, 0.1
15.49, 0.05, 0.8, 0.1
15.87, 0.05, 0.7, 0.1
16.66, 0.05, 0.6, 0.1
17.03, 0.05, 0.5, 0.1
18.27, 0.05, 0.4, 0.1
19.47, 0.05, 0.3, 0.1
21.07, 0.05, 0.2, 0.1
23.08, 0.05, 0.1, 0.1


